name,snapshot time(s),recovery time(s)
a=b linpack.aot,4.648849,0.699386
OMP_NUM_THREADS=1 llama.aot stories15M.bin -z tokenizer.bin -t 0.0,0.365937,0.067068
OMP_NUM_THREADS=2 llama.aot stories15M.bin -z tokenizer.bin -t 0.0,0.360733,0.044041
OMP_NUM_THREADS=1 bt.aot,0.010375,0.00386
OMP_NUM_THREADS=2 bt.aot,0.009028,0.003475
OMP_NUM_THREADS=4 bt.aot,0.009189,0.003573
OMP_NUM_THREADS=1 cg.aot,0.010688,0.004333
OMP_NUM_THREADS=2 cg.aot,0.009145,0.004032
OMP_NUM_THREADS=4 cg.aot,0.012166,0.004134
OMP_NUM_THREADS=1 ep.aot,0.004545,0.001728
OMP_NUM_THREADS=2 ep.aot,0.004232,0.001616
OMP_NUM_THREADS=4 ep.aot,0.004174,0.001758
OMP_NUM_THREADS=1 ft.aot,0.765309,0.125633
OMP_NUM_THREADS=2 ft.aot,0.917028,0.124677
OMP_NUM_THREADS=4 ft.aot,0.866756,0.121539
OMP_NUM_THREADS=1 lu.aot,0.002379,0.00053
OMP_NUM_THREADS=2 lu.aot,0.001434,0.00099
OMP_NUM_THREADS=4 lu.aot,0.001396,0.000942
OMP_NUM_THREADS=1 mg.aot,0.001764,0.000559
OMP_NUM_THREADS=2 mg.aot,0.001425,0.000559
OMP_NUM_THREADS=4 mg.aot,0.00135,0.000309
OMP_NUM_THREADS=1 sp.aot,0.003361,0.001331
OMP_NUM_THREADS=2 sp.aot,0.002981,0.000678
OMP_NUM_THREADS=4 sp.aot,0.001995,0.001302
a=b redis.aot,0.00101,0.000415
a=b hdastar.aot maze-6404.txt 2,5.017124,0.000415
a=b hdastar.aot maze-6404.txt 4,6.360878,0.274073
a=b hdastar.aot maze-6404.txt 8,9.26516,0.27027
