name,snapshot time(s),recovery time(s)
a=b linpack,2.028781,0.011971
OMP_NUM_THREADS=1 llama stories15M.bin -z tokenizer.bin -t 0.0,2.293052,0.014912
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,2.087376,0.015086
OMP_NUM_THREADS=1 bt,2.151756,0.006143
OMP_NUM_THREADS=2 bt,2.171498,0.006181
OMP_NUM_THREADS=4 bt,2.192926,0.010499
OMP_NUM_THREADS=1 cg,2.015471,0.009598
OMP_NUM_THREADS=2 cg,2.34223,0.009025
OMP_NUM_THREADS=4 cg,2.075169,0.01146
OMP_NUM_THREADS=1 ep,2.22398,0.013988
OMP_NUM_THREADS=2 ep,1.472082,0.013478
OMP_NUM_THREADS=4 ep,1.792492,0.013541
OMP_NUM_THREADS=1 ft,2.010922,0.133926
OMP_NUM_THREADS=2 ft,2.046478,0.129473
OMP_NUM_THREADS=4 ft,1.982524,0.127692
OMP_NUM_THREADS=1 lu,1.982524,0.127692
OMP_NUM_THREADS=2 lu,1.982524,0.127692
OMP_NUM_THREADS=4 lu,1.982524,0.127692
OMP_NUM_THREADS=1 mg,0.841246,0.006299
OMP_NUM_THREADS=2 mg,0.838749,0.00884
OMP_NUM_THREADS=4 mg,0.432729,0.008986
OMP_NUM_THREADS=1 sp,0.296599,0.006965
OMP_NUM_THREADS=2 sp,0.369723,0.007533
OMP_NUM_THREADS=4 sp,0.359029,0.007733
a=b redis,0.867129,0.007613
a=b hdastar maze-6404.txt 2,3.094156,0.473013
a=b hdastar maze-6404.txt 4,2.900745,0.473013
a=b hdastar maze-6404.txt 8,2.900745,0.473013
