name,snapshot time(s),recovery time(s)
a=b linpack.aot,3.459695,0.687249,2.18483
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,1.59752,0.687249,1.000804
"a=b rgbd_tum.aot ./ORBvoc.txt, ./TUM3.yaml ./ ./associations/fr1_xyz.txt",3.410963,0.975518,2.16153
OMP_NUM_THREADS=4 bfs.aot -f ./road.sg -n300,0.001302,0.000432,0.000817
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,0.412788,0.124413,0.258734
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,0.540332,0.123353,0.381856
OMP_NUM_THREADS=4 cc.aot -f ./road.sg -n300,0.001113,0.000456,0.000645
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,0.424887,0.12634,0.264942
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,0.423672,0.125254,0.265056
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,0.425098,0.125044,0.26472
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,0.736255,0.188024,0.493132
OMP_NUM_THREADS=4 tc.aot -g20 -n300,0.417629,0.127834,0.262248
OMP_NUM_THREADS=4 bt.aot,0.033554,0.005435,0.023311
OMP_NUM_THREADS=4 cg.aot,0.033636,0.005998,0.023075
OMP_NUM_THREADS=4 ep.aot,0.027298,0.005518,0.018064
OMP_NUM_THREADS=4 ft.aot,0.502315,0.15096,0.313085
OMP_NUM_THREADS=4 lu.aot,0.022918,0.005344,0.016179
OMP_NUM_THREADS=4 mg.aot,0.006025,0.001859,0.003569
OMP_NUM_THREADS=4 sp.aot,0.024163,0.005398,0.017078
a=b redis.aot,0.001513,0.000421,0.000662
a=b hdastar.aot maze-6404.txt 8,1.41921,0.25332,0.972227
