name,snapshot time(s),recovery time(s)
a=b linpack,4.359,0.0
a=b linpack,4.355,0.0
a=b linpack,4.367,0.0
a=b linpack,4.264,0.0
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,4.358,0.0
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,4.366,0.0
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,4.366,0.0
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,4.368,0.0
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,4.371,0.0
OMP_NUM_THREADS=2 llama stories15M.bin -z tokenizer.bin -t 0.0,4.373,0.0
OMP_NUM_THREADS=4 bt,4.365,0.0
OMP_NUM_THREADS=4 bt,4.276,0.0
OMP_NUM_THREADS=4 bt,4.329,0.0
OMP_NUM_THREADS=4 bt,4.368,0.0
OMP_NUM_THREADS=4 bt,4.379,0.0
OMP_NUM_THREADS=4 cg,4.361,0.0
OMP_NUM_THREADS=4 cg,4.466,0.0
OMP_NUM_THREADS=4 cg,4.466,0.0
OMP_NUM_THREADS=4 cg,4.267,0.0
OMP_NUM_THREADS=4 cg,4.377,0.0
OMP_NUM_THREADS=4 cg,4.377,0.0
OMP_NUM_THREADS=4 cg,4.373,0.0
OMP_NUM_THREADS=4 ep,4.364,0.0
OMP_NUM_THREADS=4 ep,4.271,0.0
OMP_NUM_THREADS=4 ep,4.271,0.0
OMP_NUM_THREADS=4 ep,4.37,0.0
OMP_NUM_THREADS=4 ep,4.381,0.0
OMP_NUM_THREADS=4 ep,4.381,0.0
OMP_NUM_THREADS=4 ft,5.585,0.0
OMP_NUM_THREADS=4 ft,5.395,0.0
OMP_NUM_THREADS=4 ft,5.561,0.0
OMP_NUM_THREADS=4 ft,5.561,0.0
OMP_NUM_THREADS=4 ft,5.447,0.0
OMP_NUM_THREADS=4 ft,5.447,0.0
OMP_NUM_THREADS=4 ft,5.463,0.0
OMP_NUM_THREADS=4 lu,4.368,0.0
OMP_NUM_THREADS=4 lu,4.368,0.0
OMP_NUM_THREADS=4 lu,4.369,0.0
OMP_NUM_THREADS=4 lu,4.271,0.0
OMP_NUM_THREADS=4 lu,4.376,0.0
OMP_NUM_THREADS=4 mg,4.278,0.0
OMP_NUM_THREADS=4 mg,4.278,0.0
OMP_NUM_THREADS=4 mg,4.372,0.0
OMP_NUM_THREADS=4 mg,4.451,0.0
OMP_NUM_THREADS=4 mg,4.451,0.0
OMP_NUM_THREADS=4 mg,4.462,0.0
OMP_NUM_THREADS=4 sp,4.33,0.0
OMP_NUM_THREADS=4 sp,4.25,0.0
OMP_NUM_THREADS=4 sp,4.165,0.0
OMP_NUM_THREADS=4 sp,4.494,0.0
a=b redis,4.367,0.0
a=b redis,4.367,0.0
a=b redis,4.377,0.0
a=b redis,4.372,0.0
a=b redis,4.374,0.0
a=b hdastar maze-6404.txt 2,4.369,0.0
a=b hdastar maze-6404.txt 2,4.369,0.0
a=b hdastar maze-6404.txt 2,4.271,0.0
a=b hdastar maze-6404.txt 2,4.372,0.0
a=b hdastar maze-6404.txt 4,4.258,0.0
a=b hdastar maze-6404.txt 4,4.258,0.0
a=b hdastar maze-6404.txt 4,4.366,0.0
a=b hdastar maze-6404.txt 4,4.375,0.0
a=b hdastar maze-6404.txt 4,4.268,0.0
a=b hdastar maze-6404.txt 4,4.264,0.0
a=b hdastar maze-6404.txt 8,4.368,0.0
a=b hdastar maze-6404.txt 8,4.292,0.0
a=b hdastar maze-6404.txt 8,4.292,0.0
a=b hdastar maze-6404.txt 8,4.256,0.0
