name,aot,pure.aot,stack.aot,ckpt-every-dirty.aot,ckpt-loop.aot,ckpt-loop-dirty.aot
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,26.32401,24.47275,25.321076,25.321076,28.210757,28.361349
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,330.175385,330.175385,287.66762,287.66762,378.43329,450.406083
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,77.442258,77.442258,59.608873,59.608873,75.939167,86.952318
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,127.297564,127.297564,117.563771,117.563771,140.754028,178.084641
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,183.643673,183.643673,151.803182,151.803182,196.635993,238.32247
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,210.696264,210.696264,198.663949,198.663949,257.639548,249.199703
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,178.722241,178.722241,178.80467,178.80467,232.050268,205.669251
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,276.031535,276.031535,259.896001,259.896001,332.261979,379.651648
OMP_NUM_THREADS=1 tc.aot -g20 -n1,52.947289,52.947289,28.014317,28.014317,41.937946,36.250411
OMP_NUM_THREADS=1 bt.aot,53.901182,49.834429,51.950295,51.950295,64.165615,60.354006
OMP_NUM_THREADS=1 cg.aot,23.741945,21.331396,23.463246,23.463246,34.835456,36.64675
OMP_NUM_THREADS=1 ep.aot,0.002409,0.000642,0.002196,0.002196,0.001753,0.002254
OMP_NUM_THREADS=1 ft.aot,34.921668,42.638944,42.787694,42.787694,85.351141,79.631072
OMP_NUM_THREADS=1 lu.aot,0.046032,0.030321,0.046097,0.046097,0.056525,0.049528
OMP_NUM_THREADS=1 mg.aot,21.919803,20.30285,20.041431,20.041431,42.097394,37.96801
OMP_NUM_THREADS=1 sp.aot,6.606837,3.380887,6.203338,6.203338,7.355136,7.827257
OMP_NUM_THREADS=1 redis.aot,19.218774,8.953303,16.486451,16.486451,20.718721,24.309655
a=b hdastar.aot maze-6404.txt 8,10.852607,10.852607,7.171778,7.171778,9.114045,10.045842
OMP_NUM_THREADS=1 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,25.897895,25.062638,25.868386,25.868386,28.922918,29.765523
OMP_NUM_THREADS=1 bc.aot -g20 -vn300,301.832709,301.832709,282.896189,282.896189,373.382094,431.826209
OMP_NUM_THREADS=1 bfs.aot -g20 -vn300,75.649175,75.649175,66.754663,66.754663,78.329767,87.567007
OMP_NUM_THREADS=1 cc.aot -g20 -vn300,140.451921,140.451921,107.166618,107.166618,130.806252,160.562792
OMP_NUM_THREADS=1 cc_sv.aot -g20 -vn300,179.209809,179.209809,168.558224,168.558224,216.848247,251.820018
OMP_NUM_THREADS=1 pr.aot -g20 -vn300,208.34811,208.34811,184.848394,184.848394,218.079389,239.554281
OMP_NUM_THREADS=1 pr_spmv.aot -g20 -vn300,183.542291,183.542291,181.628771,181.628771,240.256062,229.553617
OMP_NUM_THREADS=1 sssp.aot -g20 -vn300,257.323542,257.323542,245.717304,245.717304,324.181721,386.033067
OMP_NUM_THREADS=1 tc.aot -g20 -n1,48.603685,48.603685,29.733615,29.733615,39.745585,36.583095
OMP_NUM_THREADS=1 bt.aot,57.247907,44.65032,48.043901,48.043901,58.635469,54.20708
OMP_NUM_THREADS=1 cg.aot,25.558449,23.037484,21.886869,21.886869,38.05295,37.475349
OMP_NUM_THREADS=1 ep.aot,0.002428,0.002061,0.000875,0.000875,0.00234,0.001783
OMP_NUM_THREADS=1 ft.aot,41.163005,42.095884,39.235179,39.235179,81.749142,82.768726
OMP_NUM_THREADS=1 lu.aot,0.0306,0.033103,0.045803,0.045803,0.031862,0.033398
OMP_NUM_THREADS=1 mg.aot,20.977961,20.749273,19.90198,19.90198,42.691378,40.159088
OMP_NUM_THREADS=1 sp.aot,6.955699,3.308932,5.013995,5.013995,7.923486,8.003463
OMP_NUM_THREADS=1 redis.aot,21.833607,8.222594,16.140356,16.140356,22.810622,21.972362
a=b hdastar.aot maze-6404.txt 8,11.033102,7.240213,7.756062,7.756062,10.274468,9.814888
