name,aot,pure.aot,stack.aot,ckpt-every-dirty.aot,ckpt-loop.aot,ckpt-loop-dirty.aot
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,10.017898,10.538071,9.551293,9.551293,52.572907,58.174687
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,231.541847,231.541847,197.232313,197.232313,1630.789125,1642.650659
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,65.096905,65.096905,56.080233,56.080233,519.08394,512.712417
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,165.967726,165.967726,104.077259,104.077259,583.955076,637.09575
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,185.382474,185.382474,129.455157,129.455157,873.077472,889.527948
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,59.505688,59.505688,51.44526,51.44526,801.815683,814.781761
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,78.739079,78.739079,64.305969,64.305969,932.059638,937.161274
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,276.183438,276.183438,234.0212,234.0212,1042.837332,1086.634561
OMP_NUM_THREADS=4 tc.aot -g20 -n1,39.949079,39.949079,22.501251,22.501251,161.282844,163.515375
OMP_NUM_THREADS=4 bt.aot,70.475124,53.32907,59.691541,59.691541,130.768544,137.916229
OMP_NUM_THREADS=4 cg.aot,32.625126,18.603542,18.894772,18.894772,206.37486,211.096798
OMP_NUM_THREADS=4 ep.aot,0.003015,0.001876,0.002612,0.002612,0.005063,0.002794
OMP_NUM_THREADS=4 ft.aot,16.043054,13.759922,14.225016,14.225016,155.341532,156.453344
OMP_NUM_THREADS=4 lu.aot,0.039933,0.049057,0.035829,0.035829,0.1047,0.099759
OMP_NUM_THREADS=4 mg.aot,29.936622,19.958747,20.884183,20.884183,106.603824,114.759174
OMP_NUM_THREADS=4 sp.aot,33.832973,20.002695,22.167469,22.167469,70.783177,63.685357
OMP_NUM_THREADS=4 redis.aot,57.495774,9.580163,18.098083,18.098083,77.271008,78.862054
a=b hdastar.aot maze-6404.txt 8,10.9408,3.20139,5.495154,5.495154,11.946834,8.968433
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,11.285482,8.696805,8.719069,8.719069,45.587062,54.595998
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,228.180862,228.180862,196.644105,196.644105,1703.040742,1736.204013
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,64.901881,64.901881,53.423697,53.423697,496.595615,518.28573
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,156.226125,156.226125,96.384282,96.384282,598.375946,595.620608
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,172.1208,172.1208,117.084912,117.084912,838.12775,891.836542
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,59.804795,59.804795,48.629867,48.629867,742.457012,743.669954
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,80.962334,80.962334,61.994429,61.994429,980.537201,936.869386
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,273.989241,273.989241,224.864193,224.864193,1064.527767,1067.949112
OMP_NUM_THREADS=4 tc.aot -g20 -n1,39.78107,39.78107,22.121677,22.121677,166.89708,168.807898
OMP_NUM_THREADS=4 bt.aot,81.000707,53.906011,59.455827,59.455827,132.262379,134.614112
OMP_NUM_THREADS=4 cg.aot,26.566948,25.623014,17.822263,17.822263,208.72334,208.652902
OMP_NUM_THREADS=4 ep.aot,0.004101,0.003475,0.003786,0.003786,0.005356,0.003773
OMP_NUM_THREADS=4 ft.aot,15.002259,15.630616,14.760759,14.760759,158.338649,155.379575
OMP_NUM_THREADS=4 lu.aot,0.062055,0.024446,0.0405,0.0405,0.099567,0.097056
OMP_NUM_THREADS=4 mg.aot,30.585384,18.628778,18.124699,18.124699,114.088661,102.032073
OMP_NUM_THREADS=4 sp.aot,40.105214,23.724932,27.745403,27.745403,65.620997,62.128954
OMP_NUM_THREADS=4 redis.aot,56.354405,10.119493,17.909284,17.909284,77.499407,79.835904
a=b hdastar.aot maze-6404.txt 8,9.35697,7.024824,6.778998,6.778998,10.939126,10.388784
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,11.876132,8.922248,9.69194,9.69194,47.601604,47.685453
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,214.770088,214.770088,200.993059,200.993059,1737.181198,1841.921895
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,69.683795,69.683795,57.97691,57.97691,479.21154,497.166874
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,151.560553,151.560553,98.569124,98.569124,578.294962,604.293522
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,171.754246,171.754246,116.552469,116.552469,856.158443,901.033594
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,55.452224,55.452224,52.557448,52.557448,756.836125,763.669305
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,65.320206,65.320206,56.402029,56.402029,960.368081,976.701841
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,273.388615,273.388615,224.002082,224.002082,1134.207162,1189.01097
OMP_NUM_THREADS=4 tc.aot -g20 -n1,30.579374,30.579374,22.442656,22.442656,28.126748,29.122663
OMP_NUM_THREADS=4 bt.aot,74.62627,57.594137,53.934058,53.934058,64.171541,61.391608
OMP_NUM_THREADS=4 cg.aot,21.262384,21.131603,20.910612,20.910612,35.209194,35.883791
OMP_NUM_THREADS=4 ep.aot,0.002265,0.002804,0.002634,0.002634,0.002462,0.002571
OMP_NUM_THREADS=4 ft.aot,14.439449,13.430229,14.243589,14.243589,24.267449,28.891808
OMP_NUM_THREADS=4 lu.aot,0.054306,0.038539,0.03546,0.03546,0.051181,0.052417
OMP_NUM_THREADS=4 mg.aot,17.88104,19.578546,21.113502,21.113502,26.102983,34.509171
OMP_NUM_THREADS=4 sp.aot,24.318857,27.967577,21.065164,21.065164,24.113757,26.228236
OMP_NUM_THREADS=4 redis.aot,22.92621,10.171869,17.93138,17.93138,22.818408,24.522828
a=b hdastar.aot maze-6404.txt 8,9.343366,6.257246,7.95168,7.95168,8.826389,9.692145
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,9.777629,9.002316,8.278268,8.278268,11.776923,10.077228
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,235.962264,235.962264,205.165808,205.165808,288.253252,341.204129
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,67.984061,67.984061,57.501841,57.501841,72.718786,89.771209
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,122.803746,122.803746,106.310353,106.310353,120.990941,163.339619
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,143.091037,143.091037,133.284075,133.284075,158.061767,189.91327
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,59.748513,59.748513,53.937368,53.937368,66.821285,72.30385
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,67.034258,67.034258,61.442655,61.442655,79.29407,83.131412
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,241.71688,241.71688,235.149493,235.149493,324.518891,363.782055
OMP_NUM_THREADS=4 tc.aot -g20 -n1,33.787081,33.787081,23.356678,23.356678,27.642114,31.873019
OMP_NUM_THREADS=4 bt.aot,62.364929,47.88175,52.030866,52.030866,65.66581,64.08111
OMP_NUM_THREADS=4 cg.aot,23.270052,28.346962,20.408725,20.408725,34.173764,39.765871
OMP_NUM_THREADS=4 ep.aot,0.003548,0.002436,0.003632,0.003632,0.002712,0.01104
OMP_NUM_THREADS=4 ft.aot,15.564863,16.604796,15.692545,15.692545,26.891502,28.209096
OMP_NUM_THREADS=4 lu.aot,0.03894,0.029211,0.032026,0.032026,0.057157,0.03826
OMP_NUM_THREADS=4 mg.aot,23.915128,22.982616,18.870103,18.870103,32.612852,26.182612
OMP_NUM_THREADS=4 sp.aot,28.361577,20.423793,21.841462,21.841462,23.803076,29.12847
OMP_NUM_THREADS=4 redis.aot,23.579298,9.745268,17.117385,17.117385,21.50173,24.1784
a=b hdastar.aot maze-6404.txt 8,7.179282,5.584931,5.22663,5.22663,10.211974,5.764305
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,10.556836,8.763748,9.176185,9.176185,8.955083,10.748084
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,240.918014,240.918014,222.408358,222.408358,296.080085,360.382607
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,66.227314,66.227314,63.116356,63.116356,71.580176,87.619515
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,125.336034,125.336034,102.708246,102.708246,130.23309,163.484791
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,149.00573,149.00573,129.957419,129.957419,170.504324,215.127575
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,61.769827,61.769827,52.931184,52.931184,70.571418,83.982077
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,67.661531,67.661531,66.219016,66.219016,75.836829,86.32563
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,269.016395,269.016395,248.506964,248.506964,340.271317,417.288693
OMP_NUM_THREADS=4 tc.aot -g20 -n1,35.043157,35.043157,25.536846,25.536846,31.011852,33.615038
OMP_NUM_THREADS=4 bt.aot,60.608269,55.285906,58.692748,58.692748,64.743661,66.686157
OMP_NUM_THREADS=4 cg.aot,21.012917,25.068409,22.748177,22.748177,40.979058,41.911543
OMP_NUM_THREADS=4 ep.aot,0.004083,0.001653,0.002413,0.002413,0.002904,0.002047
OMP_NUM_THREADS=4 ft.aot,18.465617,18.475384,18.602792,18.602792,36.381457,34.788869
OMP_NUM_THREADS=4 lu.aot,0.038189,0.03304,0.041738,0.041738,0.069466,0.047683
OMP_NUM_THREADS=4 mg.aot,26.51681,24.299339,25.70265,25.70265,32.507309,31.096238
OMP_NUM_THREADS=4 sp.aot,30.008949,20.127822,23.97537,23.97537,29.492236,26.251705
OMP_NUM_THREADS=4 redis.aot,24.264871,11.354447,18.39246,18.39246,23.500784,27.574937
a=b hdastar.aot maze-6404.txt 8,10.482027,8.2684,7.54298,7.54298,8.765654,9.837615
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,9.908752,10.48247,9.232124,9.232124,11.829309,10.815756
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,256.484499,256.484499,222.196373,222.196373,319.501263,383.250463
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,64.546664,64.546664,63.03137,63.03137,77.485777,89.812901
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,128.434786,128.434786,104.737453,104.737453,128.798963,169.93154
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,154.556419,154.556419,137.911615,137.911615,184.71292,216.766781
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,66.46428,66.46428,51.017912,51.017912,63.409876,80.292184
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,69.944373,69.944373,63.368701,63.368701,78.379231,94.840139
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,271.685109,271.685109,260.718017,260.718017,318.845784,421.281836
OMP_NUM_THREADS=4 tc.aot -g20 -n1,32.163135,32.163135,24.097101,24.097101,28.806223,32.374663
OMP_NUM_THREADS=4 bt.aot,61.012268,50.714504,58.566507,58.566507,63.298748,77.57422
OMP_NUM_THREADS=4 cg.aot,25.838748,23.148281,24.620858,24.620858,37.90417,40.868128
OMP_NUM_THREADS=4 ep.aot,0.002333,0.002377,0.002264,0.002264,0.002209,0.002919
OMP_NUM_THREADS=4 ft.aot,18.347525,21.212243,19.00111,19.00111,30.954286,34.010393
OMP_NUM_THREADS=4 lu.aot,0.035631,0.042399,0.05106,0.05106,0.060471,0.043904
OMP_NUM_THREADS=4 mg.aot,30.851053,20.183595,21.850666,21.850666,31.018976,32.125953
OMP_NUM_THREADS=4 sp.aot,25.602366,19.764139,18.833222,18.833222,28.071709,38.586909
OMP_NUM_THREADS=4 redis.aot,23.618858,10.632358,19.548547,19.548547,24.008548,26.568505
a=b hdastar.aot maze-6404.txt 8,11.52202,7.384746,8.439873,8.439873,9.656676,9.171918
OMP_NUM_THREADS=4 llama.aot stories110M.bin -z tokenizer.bin -t 0.0,10.450674,10.373996,8.727034,8.727034,11.114678,11.698355
OMP_NUM_THREADS=4 bc.aot -g20 -vn300,277.798857,277.798857,226.400759,226.400759,315.22744,379.973677
OMP_NUM_THREADS=4 bfs.aot -g20 -vn300,64.506582,64.506582,60.214117,60.214117,73.989757,99.890517
OMP_NUM_THREADS=4 cc.aot -g20 -vn300,131.843614,131.843614,111.167978,111.167978,133.019656,170.921823
OMP_NUM_THREADS=4 cc_sv.aot -g20 -vn300,162.284433,162.284433,134.772481,134.772481,172.419212,207.173519
OMP_NUM_THREADS=4 pr.aot -g20 -vn300,59.430071,59.430071,55.43075,55.43075,65.154986,82.137504
OMP_NUM_THREADS=4 pr_spmv.aot -g20 -vn300,67.976575,67.976575,68.608525,68.608525,79.569412,95.290172
OMP_NUM_THREADS=4 sssp.aot -g20 -vn300,262.87282,262.87282,251.558825,251.558825,332.994496,405.140538
OMP_NUM_THREADS=4 tc.aot -g20 -n1,32.352684,32.352684,24.380902,24.380902,27.943186,30.254229
OMP_NUM_THREADS=4 bt.aot,61.283924,59.939225,52.329247,52.329247,71.491986,71.092607
OMP_NUM_THREADS=4 cg.aot,28.418268,24.73598,24.875225,24.875225,40.982641,43.734437
OMP_NUM_THREADS=4 ep.aot,0.002538,0.003298,0.012851,0.012851,0.003923,0.002796
OMP_NUM_THREADS=4 ft.aot,17.95022,14.909875,18.273977,18.273977,37.87855,35.982202
